Animal ID,Animal Name,Animal Type,Primary Color,Secondary Color,Sex,DOB,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,latitude,longitude,intake_is_dead,outcome_is_dead,was_outcome_alive,geopoint
A625007,,CAT,ORANGE,WHITE,Unknown,2019-04-06,2019-04-20,UNDER AGE/WEIGHT,STRAY,FIELD,,2019-04-20,"300 BLK E NEECE ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,OTHER RESC,33.871828,-118.1967512,Alive on Intake,FALSE,1,"33.871828, -118.1967512"
A598724,*ERNIE,DOG,BLACK,TAN,Male,2008-10-13,2017-10-13,AGED,STRAY,FIELD,,2017-10-27,"300 BLK E NEECE ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,OTHER RESC,33.871828,-118.1967512,Alive on Intake,FALSE,1,"33.871828, -118.1967512"
A702621,PUSH,DOG,TRICOLOR,BLACK,Male,2021-07-11,2023-07-11,NORMAL,STRAY,FIELD,,2023-07-12,"300 BLK E NEECE ST, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,WALKIN,33.871828,-118.1967512,Alive on Intake,FALSE,1,"33.871828, -118.1967512"
A602604,GANDALF,CAT,GRAY,,Male,2016-01-17,2018-01-17,NORMAL,OWNER SURRENDER,OTC,OWNER DIED,2018-02-18,"300 BLK E NORTON ST, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,33.8582742,-118.1897576,Alive on Intake,FALSE,1,"33.8582742, -118.1897576"
A702756,,BIRD,GRAY,WHITE,Unknown,,2023-07-12,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2023-07-12,"300 BLK E OCEAN BLVD, LB 90802",LONG BEACH,TRANSFER,OTHER RESC,33.7645166,-118.1908882,Alive on Intake,FALSE,1,"33.7645166, -118.1908882"
A628718,RAVE,DOG,BLACK,WHITE,Female,2018-11-22,2019-06-22,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,2019-07-25,"300 BLK E OSGOOD ST, LONG BEACH, CA 90703",LONG BEACH,RESCUE,LIVELOVE,33.8623705,-118.189741,Alive on Intake,FALSE,1,"33.8623705, -118.189741"
A651319,A651319,CAT,SEAL PT,,Neutered,2015-11-11,2020-11-11,FRACTIOUS,STRAY,FIELD,,2020-12-01,"300 BLK E PEACE ST, LONG BEACH, CA 90805",LONG BEACH,"SHELTER, NEUTER, RETURN",STRAYCATAL,33.8454759,-118.1897493,Alive on Intake,FALSE,1,"33.8454759, -118.1897493"
A615009,,BIRD,GRAY,WHITE,Unknown,,2018-09-21,INJURED  SEVERE,WILDLIFE,FIELD,,2018-09-21,"300 BLK E PLEASANT ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,ILL SEVERE,33.8460852,-118.1897789,Alive on Intake,TRUE,0,"33.8460852, -118.1897789"
A625595,,WILD,GRAY,,Unknown,2019-03-30,2019-04-30,INJURED  SEVERE,WILDLIFE,FIELD,,2019-04-30,"300 BLK E PLENTY ST, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,LBAH,33.8473214,-118.1897686,Alive on Intake,FALSE,1,"33.8473214, -118.1897686"
A696651,*TRISCUIT,DOG,WHITE,BROWN,Neutered,2020-04-13,2023-04-13,NORMAL,STRAY,FIELD,,2023-04-19,300 BLK E POPPY ST,LONG BEACH,ADOPTION,,33.8679596,-118.1911548,Alive on Intake,FALSE,1,"33.8679596, -118.1911548"
A624030,,WILD,PINK,,Unknown,2019-03-29,2019-03-30,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2019-03-30,"300 BLK E POPPY ST, LONG BEACH, CA 90805",LONG BEACH,EUTHANASIA,UNDRAGE/WT,33.8679596,-118.1911548,Alive on Intake,TRUE,0,"33.8679596, -118.1911548"
A614730,*MATILDA,CAT,TORTIE,,Spayed,2016-03-15,2018-09-15,NORMAL,STRAY,OTC,,2018-11-10,"300 BLK E RHEA ST, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,WALKIN,33.7924717,-118.1892489,Alive on Intake,FALSE,1,"33.7924717, -118.1892489"
A711204,*LESTER,DOG,BLACK,,Neutered,2023-05-29,2023-11-29,NORMAL,STRAY,OTC,,2023-12-06,300 BLK E SCOTT STREET LONG BEACH CA 90805,LONG BEACH,ADOPTION,WEB,33.8690676,-118.1969244,Alive on Intake,FALSE,1,"33.8690676, -118.1969244"
A706708,,BIRD,GRAY,BROWN,Unknown,,2023-09-12,UNDER AGE/WEIGHT,WILDLIFE,FIELD,,2023-09-12,"300 BLK E SHORELINE DR, LB 90802",LONG BEACH,RESCUE,IBR,33.7639555,-118.1849016,Alive on Intake,FALSE,1,"33.7639555, -118.1849016"
